y_real,y_pred_lr,y_prob_lr
0,0,0.023917307249413405
0,0,0.26298507893256684
0,0,0.05077248404123852
0,0,0.036220355138625975
0,0,0.0207589788549434
0,0,0.01527139298148395
0,0,0.1765618258606591
1,1,0.8992019747447577
0,0,0.27300471179853264
0,1,0.9245219729612429
0,0,0.0739113311423703
0,0,0.02165440561292421
0,0,0.25217228342651843
0,1,0.4653122690284204
1,1,0.9140787765083758
0,0,0.029171965403504287
1,1,0.9454059035557161
0,0,0.08891107759674868
0,0,0.019442905186865218
0,0,0.05117437618548883
0,1,0.5608798444733101
0,0,0.05254237576546406
0,1,0.6352877655295152
0,0,0.11192222804257478
0,0,0.10089908697942734
1,1,0.6381161999556554
0,1,0.5765122884045505
0,0,0.047848948042277156
0,0,0.3169761737184233
1,1,0.8913048274530957
0,0,0.014560391189259322
0,0,0.1552099586151631
0,0,0.0625632931288977
0,0,0.0279170772652661
1,1,0.8987626927393148
0,0,0.0396666736086468
0,0,0.06011899388716094
0,1,0.38829048140824246
0,1,0.5170845749986356
0,1,0.4660775202622738
0,0,0.029488222409522397
0,0,0.016823123626093374
0,0,0.250638264901255
0,0,0.021785059144230366
0,1,0.6609972745381346
0,0,0.08421351427593558
0,0,0.05289391426574598
0,0,0.04943262448577671
0,0,0.029203832084174174
0,0,0.23067382087440833
0,0,0.019753782985257134
1,1,0.5182989621796062
0,1,0.8528172252796244
0,1,0.3892679906882878
0,1,0.5330751465691854
1,1,0.7786318660694976
0,1,0.42496060414431613
0,1,0.863554430247934
0,0,0.06601625728971537
0,0,0.12484609597269226
0,0,0.18126024762099122
0,0,0.310176971292561
0,1,0.8123558431051131
0,0,0.0839393786877412
0,1,0.3978957491503709
0,0,0.18016979161512678
0,1,0.8130449419955565
0,0,0.029803254117461812
0,0,0.06862408231980885
1,0,0.21101286153500634
0,0,0.08236038530559053
0,1,0.41282261588984864
0,0,0.2283580168029808
0,1,0.4610263297838506
0,0,0.02516374369757156
0,0,0.019500976558133116
0,0,0.28539030503475865
0,0,0.169983806498633
0,0,0.007808412817499255
1,1,0.9069598779880742
0,0,0.10425171937510617
1,1,0.8976782090888293
0,0,0.0536265502953552
0,1,0.3684991417524261
0,0,0.27749151879675865
0,0,0.04167574573653798
0,0,0.034652500852948354
0,0,0.012384098557096337
0,0,0.03344353633089332
0,0,0.24105681420511132
1,1,0.45629132962777036
1,1,0.7446031951264582
0,0,0.24793538360070125
0,0,0.13035037907667768
0,0,0.016469801427633615
0,1,0.6053638349392622
0,0,0.03690699344626098
1,1,0.8475589854610048
0,1,0.9610673075973434
0,0,0.12950168842569512
0,0,0.021073409451264957
0,1,0.6874920674116513
0,0,0.22140772173630804
0,0,0.10605852780759116
0,0,0.18817048531791475
0,0,0.07195426111002405
0,0,0.10793751088442877
0,0,0.17543188816038038
0,1,0.8089234938025253
0,0,0.30842268576137527
0,0,0.07616450952831806
0,0,0.026186769430629902
0,1,0.6220373322967709
0,0,0.10670653402035774
0,1,0.9993480652836781
0,0,0.03504792799851971
0,1,0.7271197239057704
0,0,0.026268114585355693
1,1,0.41594319874888036
0,0,0.05627779813279131
0,1,0.6059928493164475
0,1,0.9848493661459296
0,0,0.0734539670686733
0,1,0.9233933086830404
0,0,0.06294500630759042
0,0,0.03533564473320117
0,0,0.08010752330545101
0,0,0.04429050786958288
0,1,0.4253738720080338
0,0,0.18228912149479146
0,0,0.023845330971532023
0,0,0.25309549946209564
0,1,0.4598516693611242
0,0,0.07897532860805262
0,0,0.2674419310519791
0,0,0.3258022756572743
0,1,0.7414077489225434
0,0,0.32043634312886604
0,0,0.0283775019045875
0,0,0.08965571750881145
0,0,0.10393949378530525
0,0,0.15552200805495614
0,1,0.5110842515372758
1,1,0.6965965270839037
0,0,0.00842619857961191
0,0,0.014723135420806372
0,0,0.07717934343502993
0,0,0.01679982541737053
0,0,0.006237548158408814
0,0,0.04506579322026115
0,1,0.5362182101777733
0,1,0.914771078979505
0,0,0.0709837784766297
0,1,0.9050408397873748
0,0,0.062439644584258894
0,0,0.014826481104159314
0,0,0.07374640915681657
1,1,0.6606306245415376
0,0,0.14890088932351297
1,1,0.5019369835778132
0,1,0.4284194321877973
0,0,0.06768651093866815
0,0,0.04246982925713743
1,1,0.9171945982741985
0,0,0.10461579970317489
0,1,0.7076539031832197
0,1,0.6252407659031448
0,0,0.04063189107988444
0,0,0.018934638684381958
0,0,0.042275211453979826
0,1,0.4280582962867942
0,0,0.09542657931367007
0,1,0.6718552294897996
1,1,0.898966950496575
0,0,0.07447687738677956
0,1,0.699440514834656
0,1,0.7643637341958844
0,0,0.041351472250693834
0,0,0.004770525651499182
0,0,0.05214706511673965
0,0,0.03621628022112752
0,1,0.8053302035568539
0,0,0.016844502214525933
0,1,0.7390604923598919
0,0,0.0550946759662231
0,0,0.07246737908571402
0,1,0.8051243282743834
0,0,0.3496059466744295
0,0,0.10973269551504125
0,0,0.02642869946878062
0,0,0.04306227638049063
0,0,0.040079521367688595
0,0,0.07666636065403537
0,1,0.6658629510360283
0,0,0.1351631266573463
1,1,0.8085686354528614
1,1,0.8288571240082522
0,0,0.27067747722488283
1,0,0.2442250865957233
0,0,0.22916268989103322
0,1,0.6383565089965025
0,0,0.05640934607816101
0,0,0.09877586474373487
0,0,0.018641896246404714
1,1,0.7658590892324614
1,1,0.8446038218722105
1,1,0.6105301939135321
0,1,0.8005242476951236
0,0,0.11287476698644189
0,0,0.035733138045688416
0,0,0.05523984991499189
0,0,0.1514027617600338
0,0,0.019198616899623218
